img i-contours o-contours
_data/images.i-contours.o-contours/0.npy _data/masks.i-contours.o-contours/0.i-contours.npy _data/masks.i-contours.o-contours/0.o-contours.npy
_data/images.i-contours.o-contours/1.npy _data/masks.i-contours.o-contours/1.i-contours.npy _data/masks.i-contours.o-contours/1.o-contours.npy
_data/images.i-contours.o-contours/2.npy _data/masks.i-contours.o-contours/2.i-contours.npy _data/masks.i-contours.o-contours/2.o-contours.npy
_data/images.i-contours.o-contours/3.npy _data/masks.i-contours.o-contours/3.i-contours.npy _data/masks.i-contours.o-contours/3.o-contours.npy
_data/images.i-contours.o-contours/4.npy _data/masks.i-contours.o-contours/4.i-contours.npy _data/masks.i-contours.o-contours/4.o-contours.npy
_data/images.i-contours.o-contours/5.npy _data/masks.i-contours.o-contours/5.i-contours.npy _data/masks.i-contours.o-contours/5.o-contours.npy
_data/images.i-contours.o-contours/6.npy _data/masks.i-contours.o-contours/6.i-contours.npy _data/masks.i-contours.o-contours/6.o-contours.npy
_data/images.i-contours.o-contours/7.npy _data/masks.i-contours.o-contours/7.i-contours.npy _data/masks.i-contours.o-contours/7.o-contours.npy
_data/images.i-contours.o-contours/8.npy _data/masks.i-contours.o-contours/8.i-contours.npy _data/masks.i-contours.o-contours/8.o-contours.npy
_data/images.i-contours.o-contours/9.npy _data/masks.i-contours.o-contours/9.i-contours.npy _data/masks.i-contours.o-contours/9.o-contours.npy
_data/images.i-contours.o-contours/10.npy _data/masks.i-contours.o-contours/10.i-contours.npy _data/masks.i-contours.o-contours/10.o-contours.npy
_data/images.i-contours.o-contours/11.npy _data/masks.i-contours.o-contours/11.i-contours.npy _data/masks.i-contours.o-contours/11.o-contours.npy
_data/images.i-contours.o-contours/12.npy _data/masks.i-contours.o-contours/12.i-contours.npy _data/masks.i-contours.o-contours/12.o-contours.npy
_data/images.i-contours.o-contours/13.npy _data/masks.i-contours.o-contours/13.i-contours.npy _data/masks.i-contours.o-contours/13.o-contours.npy
_data/images.i-contours.o-contours/14.npy _data/masks.i-contours.o-contours/14.i-contours.npy _data/masks.i-contours.o-contours/14.o-contours.npy
_data/images.i-contours.o-contours/15.npy _data/masks.i-contours.o-contours/15.i-contours.npy _data/masks.i-contours.o-contours/15.o-contours.npy
_data/images.i-contours.o-contours/16.npy _data/masks.i-contours.o-contours/16.i-contours.npy _data/masks.i-contours.o-contours/16.o-contours.npy
_data/images.i-contours.o-contours/17.npy _data/masks.i-contours.o-contours/17.i-contours.npy _data/masks.i-contours.o-contours/17.o-contours.npy
_data/images.i-contours.o-contours/18.npy _data/masks.i-contours.o-contours/18.i-contours.npy _data/masks.i-contours.o-contours/18.o-contours.npy
_data/images.i-contours.o-contours/19.npy _data/masks.i-contours.o-contours/19.i-contours.npy _data/masks.i-contours.o-contours/19.o-contours.npy
_data/images.i-contours.o-contours/20.npy _data/masks.i-contours.o-contours/20.i-contours.npy _data/masks.i-contours.o-contours/20.o-contours.npy
_data/images.i-contours.o-contours/21.npy _data/masks.i-contours.o-contours/21.i-contours.npy _data/masks.i-contours.o-contours/21.o-contours.npy
_data/images.i-contours.o-contours/22.npy _data/masks.i-contours.o-contours/22.i-contours.npy _data/masks.i-contours.o-contours/22.o-contours.npy
_data/images.i-contours.o-contours/23.npy _data/masks.i-contours.o-contours/23.i-contours.npy _data/masks.i-contours.o-contours/23.o-contours.npy
_data/images.i-contours.o-contours/24.npy _data/masks.i-contours.o-contours/24.i-contours.npy _data/masks.i-contours.o-contours/24.o-contours.npy
_data/images.i-contours.o-contours/25.npy _data/masks.i-contours.o-contours/25.i-contours.npy _data/masks.i-contours.o-contours/25.o-contours.npy
_data/images.i-contours.o-contours/26.npy _data/masks.i-contours.o-contours/26.i-contours.npy _data/masks.i-contours.o-contours/26.o-contours.npy
_data/images.i-contours.o-contours/27.npy _data/masks.i-contours.o-contours/27.i-contours.npy _data/masks.i-contours.o-contours/27.o-contours.npy
_data/images.i-contours.o-contours/28.npy _data/masks.i-contours.o-contours/28.i-contours.npy _data/masks.i-contours.o-contours/28.o-contours.npy
_data/images.i-contours.o-contours/29.npy _data/masks.i-contours.o-contours/29.i-contours.npy _data/masks.i-contours.o-contours/29.o-contours.npy
_data/images.i-contours.o-contours/30.npy _data/masks.i-contours.o-contours/30.i-contours.npy _data/masks.i-contours.o-contours/30.o-contours.npy
_data/images.i-contours.o-contours/31.npy _data/masks.i-contours.o-contours/31.i-contours.npy _data/masks.i-contours.o-contours/31.o-contours.npy
_data/images.i-contours.o-contours/32.npy _data/masks.i-contours.o-contours/32.i-contours.npy _data/masks.i-contours.o-contours/32.o-contours.npy
_data/images.i-contours.o-contours/33.npy _data/masks.i-contours.o-contours/33.i-contours.npy _data/masks.i-contours.o-contours/33.o-contours.npy
_data/images.i-contours.o-contours/34.npy _data/masks.i-contours.o-contours/34.i-contours.npy _data/masks.i-contours.o-contours/34.o-contours.npy
_data/images.i-contours.o-contours/35.npy _data/masks.i-contours.o-contours/35.i-contours.npy _data/masks.i-contours.o-contours/35.o-contours.npy
_data/images.i-contours.o-contours/36.npy _data/masks.i-contours.o-contours/36.i-contours.npy _data/masks.i-contours.o-contours/36.o-contours.npy
_data/images.i-contours.o-contours/37.npy _data/masks.i-contours.o-contours/37.i-contours.npy _data/masks.i-contours.o-contours/37.o-contours.npy
_data/images.i-contours.o-contours/38.npy _data/masks.i-contours.o-contours/38.i-contours.npy _data/masks.i-contours.o-contours/38.o-contours.npy
_data/images.i-contours.o-contours/39.npy _data/masks.i-contours.o-contours/39.i-contours.npy _data/masks.i-contours.o-contours/39.o-contours.npy
_data/images.i-contours.o-contours/40.npy _data/masks.i-contours.o-contours/40.i-contours.npy _data/masks.i-contours.o-contours/40.o-contours.npy
_data/images.i-contours.o-contours/41.npy _data/masks.i-contours.o-contours/41.i-contours.npy _data/masks.i-contours.o-contours/41.o-contours.npy
_data/images.i-contours.o-contours/42.npy _data/masks.i-contours.o-contours/42.i-contours.npy _data/masks.i-contours.o-contours/42.o-contours.npy
_data/images.i-contours.o-contours/43.npy _data/masks.i-contours.o-contours/43.i-contours.npy _data/masks.i-contours.o-contours/43.o-contours.npy
_data/images.i-contours.o-contours/44.npy _data/masks.i-contours.o-contours/44.i-contours.npy _data/masks.i-contours.o-contours/44.o-contours.npy
_data/images.i-contours.o-contours/45.npy _data/masks.i-contours.o-contours/45.i-contours.npy _data/masks.i-contours.o-contours/45.o-contours.npy
